"SIVIMID","Revised.sintaxon"
"Q-P12631","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12632","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12633","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12634","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12635","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12637","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12638","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12639","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12640","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12641","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12642","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12644","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12645","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12646","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12655","Linario polygalifoliae-Vulpion alopecuri"
"Q-P12656","Linario polygalifoliae-Vulpion alopecuri"
"R-P20908","Linario polygalifoliae-Vulpion alopecuri"
"R-P20909","Linario polygalifoliae-Vulpion alopecuri"
"R-P20911","Linario polygalifoliae-Vulpion alopecuri"
"S-P21313","Linario polygalifoliae-Vulpion alopecuri"
"S-P21314","Linario polygalifoliae-Vulpion alopecuri"
"S-P21315","Linario polygalifoliae-Vulpion alopecuri"
"S-P21316","Linario polygalifoliae-Vulpion alopecuri"
"S-P21317","Linario polygalifoliae-Vulpion alopecuri"
